	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
SNORD105B	616.088096833516	4.19912300613235	0.285504318457004	14.7077390241462	5.74965698034334e-49	9.97671961218835e-47
RNU5B-1	5519.92039885052	2.15666267071746	0.147234325173418	14.6478252824351	1.39096930942237e-48	2.36970589623412e-46
SNORA22	480.219553474254	5.05723850005659	0.346181018804099	14.6086533499933	2.47359020521197e-48	4.1388464683636e-46
RNU4-1	16064.1827348257	1.73852811499098	0.119777131214161	14.5146915556235	9.77965998730452e-48	1.60763884352708e-45
RNA5SP141	2575.74053989911	2.02440745315212	0.143887568610344	14.0693700832095	5.85889417242761e-45	9.46514455097357e-43
SNORD72	647.124238364209	3.45079698211909	0.245926380253833	14.0318292757261	9.95502212591424e-45	1.58099249694604e-42
SNORA7B	434.198105536651	4.43670650776522	0.326197269697899	13.6012987229298	3.93385329188518e-42	6.14336755749403e-40
RNA5SP216	810.808660324892	2.92059185536445	0.215190240246708	13.5721390153015	5.85869992322921e-42	8.99934725912422e-40
SNORD14E	9844.05686562723	4.07472884754542	0.301863033018437	13.4986016896496	1.59372302004828e-41	2.40857817707296e-39
RNA5-8SP6	645.680386594644	3.24362204599505	0.24222615886296	13.3908825587667	6.83635350849543e-41	1.016771942454e-38
ENSG00000275110	8619.44268024435	3.71796348000625	0.285287517600893	13.032338432723	8.01141452522411e-39	1.17292115783359e-36
SNORA33	2698.47995536736	4.12195738194252	0.318191743875722	12.9543190899147	2.22098033475225e-38	3.20162857486593e-36
RNA5SP145	5657.1702734206	1.89054057986983	0.146821876800956	12.8764229218566	6.11024980075097e-38	8.67470312621767e-36
SNORD67	582.884645332509	3.87814351350614	0.30162286218007	12.8575913824161	7.79684833890335e-38	1.09039505873917e-35
SNORA23	680.571780947854	2.96425279446633	0.2320376533878	12.7748783492144	2.26501562895165e-37	3.12105830048191e-35
SNORD105	409.318891016463	4.18718082864907	0.328102956206196	12.7617894000859	2.6797369463602e-37	3.63900509962248e-35
SNORD121A	399.622725839632	4.16160718294244	0.33134072211502	12.5599025570355	3.50764484073553e-36	4.69523316538455e-34
RNA5SP150	1352.65773937545	2.14825587800534	0.173676299416358	12.3693093716563	3.83101174654294e-35	5.05585634719821e-33
SNORD126	383.546660047953	3.94611492735908	0.323588339080987	12.1948613431693	3.31067047984611e-34	4.30846977724417e-32
DKK4	2573.34502360782	1.74314733563933	0.146461304163822	11.9017603017488	1.15876765032722e-32	1.48734971007754e-30
SNORA5C	497.907185384345	3.36267241438344	0.284420771218773	11.8228791799348	2.97316957791477e-32	3.7646755331164e-30
ATP1A1	4273.83130784153	1.51597978290734	0.128741657578648	11.7753632462067	5.2291358989138e-32	6.53293378304298e-30
SNORA2A	374.685281410471	3.78681806627708	0.32321180776357	11.7162120173751	1.05274832236236e-31	1.29792786585992e-29
SLC3A2	3597.15268427859	1.50882660018992	0.133127166081823	11.3337243223713	8.93241023503202e-30	1.08696992080844e-27
GAPDH	5223.41634991672	1.40971002257007	0.12467280012166	11.3072781007119	1.20778327674895e-29	1.45088837219714e-27
SNORD62B	355.663440758782	3.75031355880431	0.332550768455639	11.2774166068559	1.69655123186791e-29	2.01223861298764e-27
ENSG00000283907	8422.16562788773	2.83449589352259	0.257033406149963	11.0277334607193	2.80854035168913e-28	3.28950288691589e-26
FLNA	10107.3814328606	1.2639164030996	0.115237767203626	10.9679008346825	5.45235241072086e-28	6.30722741832771e-26
SNORA74B	356.971170625498	3.37612900596739	0.316420478507077	10.6697550736808	1.40997551153688e-26	1.61115494428056e-24
SNORD69	300.36398729525	3.70729484108725	0.35112992083624	10.5581855065443	4.65574173271234e-26	5.25593976331502e-24
SNORA80A	322.847169249932	3.59217674746917	0.340279603518668	10.5565444132537	4.73783193515439e-26	5.28493871814246e-24
PLEC	9730.37302751505	1.22285965763491	0.115900703511352	10.5509252367492	5.02993071357682e-26	5.54475891602528e-24
SNORD71	252.73575805357	4.42785883285551	0.4217195208131	10.4995349143866	8.68067554657069e-26	9.45789882225202e-24
SNORD3A	124759.078832386	2.53558872522952	0.243625495055976	10.407731443078	2.28604274071693e-25	2.46209430810548e-23
TGFBI	4310.50924195749	1.32581919928528	0.129819819842586	10.2127641287202	1.73840657060189e-24	1.8510079052886e-22
LGALS3BP	1577.05040964482	1.64383773516126	0.163348506892662	10.06337778307	8.01985243574925e-24	8.44337273291803e-22
SCARNA11	687.267160775058	2.32010895583549	0.231261513361609	10.0324041043858	1.09809783003106e-23	1.14324185193234e-21
ACTB	7291.1217355725	1.18017935098692	0.118501494373719	9.95919382472072	2.2991949586277e-23	2.36741283102655e-21
SNORD62A	247.536418986062	3.98896189502011	0.402271905992967	9.9160837125172	3.54389401205535e-23	3.6093790101042e-21
AHNAK	8853.39578376898	1.12931586710243	0.116043458444892	9.73183566085058	2.20575970682158e-22	2.22236219923852e-20
SLC2A1	9015.02886084852	1.11793489650473	0.115591481046763	9.67142981801978	3.98767314003329e-22	3.97494652362893e-20
RPN2	2088.76978511463	1.47861368309256	0.153095788212563	9.65809510735594	4.54231297972694e-22	4.48015501263594e-20
